technology,parameter,value,unit,source,further description
gas,fuel,51.88,EUR/MWh_th,Ariadne,"plus carbon add-on of 11.88 €/MWh €/MWh"
oil,fuel,48.4136,EUR2020/MWh,Ariadne,"$2020 = 0.8775 EUR2020, 1bbl = 1.6998MWh (plus carbon add-on of 15.426 €/MWh)"
coal,fuel,30.8354,EUR2020/MWh,Ariadne,"$2020 = 0.8775 EUR2020, 1t = 8.06 MWh (plus carbon add-on of 20.166 €/MWh)"
electrolysis,investment,1267,EUR2020/kW_e,DEA,"linear interpolation of AEC 100 MW upper limit 2020 to 2050"
decentral air-sourced heat pump,investment,1604,EUR2020/kW_th,https://ariadneprojekt.de/media/2024/01/Ariadne-Analyse_HeizkostenEmissionenGebaeude_Januar2024.pdf https://www.enpal.de/waermepumpe/kosten/ https://www.bdew.de/media/documents/BDEW-HKV_Altbau.pdf and cost reduction from DEA
decentral ground-sourced heat pump,investment,2682,EUR2020/kW_th,https://ariadneprojekt.de/media/2024/01/Ariadne-Analyse_HeizkostenEmissionenGebaeude_Januar2024.pdf https://www.enpal.de/waermepumpe/kosten/ https://www.bdew.de/media/documents/BDEW-HKV_Altbau.pdf and cost reduction from DEA
electricity distribution grid,investment,2985,EUR2020/kW,NEP2021+NEP2023
HVAC overhead,investment,732,EUR2020/MW/km,NEP2021
HVDC inverter pair,investment,597015,EUR2020/MW,NEP2021+NEP2023
HVDC overhead,investment,995,EUR2020/MW/km,NEP2021+NEP2023
HVDC submarine,investment,3234,EUR2020/MW/km,NEP2021
HVAC overhead,investment,1215,EUR2020/MW/km,NEP2023
HVDC submarine,investment,3183,EUR2020/MW/km,NEP2023
lignite,fuel,27.7125,EUR/MWh_th,"DIW (2013): Current and propsective costs of electricity generation until 2050, http://hdl.handle.net/10419/80348 , pg. 80 text below figure 10, accessed: 2023-12-14.","Based on IEA 2011 data, 10 USD/t.  (plus carbon ad don of 24.414 €/MWh"

